x,y,z,scale,macro_x,macro_y,micro_x,micro_y,parcel_id
-4.4838,-4.2149,0.447,0.0754,0,1,3,0,51
-4.0038,-4.1886,0.486,0.1452,1,1,0,0,51
-3.5173,-4.1567,0.526,0.0923,1,1,1,0,51
-3.0279,-4.1221,0.567,0.1017,1,1,2,0,51
-2.5395,-4.0885,0.61,0.0754,1,1,3,0,51
-1.1134,-4.0219,0.733,0.0938,2,1,2,0,29
-0.6557,-4.0152,0.772,0.1237,2,1,3,0,29
-0.2038,-4.0133,0.809,0.1239,3,1,0,0,29
0.2476,-4.0109,0.845,0.1226,3,1,1,0,29
0.7029,-4.0016,0.881,0.0804,3,1,2,0,29
1.1643,-3.9816,0.918,0.1069,3,1,3,0,29
1.6322,-3.9501,0.954,0.1137,4,1,0,0,29
3.0592,-3.8148,1.057,0.1196,4,1,3,0,31
3.5344,-3.7705,1.086,0.1199,5,1,0,0,31
4.0052,-3.734,1.111,0.0758,5,1,1,0,31
4.4699,-3.7081,1.131,0.0761,5,1,2,0,31
4.9288,-3.6907,1.146,0.0883,5,1,3,0,31
6.278,-3.6707,1.165,0.1325,6,1,2,0,55
6.7144,-3.6702,1.164,0.1321,6,1,3,0,55
7.1402,-3.6726,1.158,0.1408,7,1,0,0,55
7.5562,-3.6777,1.149,0.1089,7,1,1,0,55
7.9651,-3.685,1.137,0.1012,7,1,2,0,55
9.1908,-3.7134,1.082,0.0923,8,1,1,0,54
9.6126,-3.7229,1.058,0.0778,8,1,2,0,54
10.0454,-3.732,1.03,0.1156,8,1,3,0,54
10.4877,-3.7372,1.0,0.0939,9,1,0,0,54
10.9356,-3.7381,0.968,0.1389,9,1,1,0,54
12.2434,-3.768,0.86,0.0806,10,1,0,0,53
12.6517,-3.7976,0.822,0.0912,10,1,1,0,53
13.0474,-3.836,0.784,0.1006,10,1,2,0,53
13.4355,-3.8798,0.745,0.1214,10,1,3,0,53
13.8219,-3.9248,0.707,0.1148,11,1,0,0,53
15.0304,-4.025,0.591,0.0767,11,1,3,0,56
15.4611,-4.0386,0.552,0.0814,12,1,0,0,56
15.9043,-4.0435,0.513,0.1314,12,1,1,0,56
16.3537,-4.0447,0.474,0.1413,12,1,2,0,56
16.8066,-4.0481,0.435,0.0999,12,1,3,0,56
18.1989,-4.0992,0.323,0.0839,13,1,2,0,84
18.6733,-4.1286,0.288,0.1127,13,1,3,0,84
19.1496,-4.1605,0.254,0.0781,14,1,0,0,84
19.6253,-4.1915,0.222,0.095,14,1,1,0,84
20.0978,-4.2187,0.192,0.1409,14,1,2,0,84
20.5651,-4.2395,0.165,0.1412,14,1,3,0,84
-5.7593,-3.8448,0.363,0.111,0,1,0,1,51
-5.3068,-3.8413,0.397,0.123,0,1,1,1,51
-4.8498,-3.8313,0.433,0.0802,0,1,2,1,51
-4.3872,-3.8135,0.47,0.0819,0,1,3,1,51
-3.9195,-3.7883,0.509,0.1452,1,1,0,1,51
-3.4481,-3.7578,0.55,0.1425,1,1,1,1,51
-2.9748,-3.7248,0.592,0.1362,1,1,2,1,51
-2.5022,-3.6927,0.635,0.1445,1,1,3,1,51
-1.1074,-3.629,0.763,0.1428,2,1,2,1,29
-0.6529,-3.6226,0.803,0.1284,2,1,3,1,29
-0.2016,-3.6209,0.842,0.0905,3,1,0,1,29
0.25,-3.6187,0.881,0.1352,3,1,1,1,29
0.7065,-3.6105,0.919,0.1257,3,1,2,1,29
1.1703,-3.5927,0.957,0.1112,3,1,3,1,29
1.642,-3.5649,0.995,0.1256,4,1,0,1,29
3.0855,-3.4453,1.103,0.0992,4,1,3,1,31
3.5663,-3.4056,1.133,0.1001,5,1,0,1,31
4.0433,-3.3671,1.159,0.0814,5,1,1,1,31
4.5137,-3.3341,1.182,0.1352,5,1,2,1,31
4.9756,-3.3101,1.198,0.1376,5,1,3,1,31
6.3237,-3.2722,1.22,0.0985,6,1,2,1,55
6.7575,-3.2614,1.22,0.0875,6,1,3,1,55
7.1796,-3.2484,1.216,0.1408,7,1,0,1,55
7.591,-3.2335,1.209,0.114,7,1,1,1,55
7.9945,-3.2176,1.199,0.1439,7,1,2,1,55
9.2046,-3.1812,1.15,0.1041,8,1,1,1,54
9.6229,-3.1788,1.126,0.0966,8,1,2,1,54
10.0537,-3.1831,1.097,0.1073,8,1,3,1,54
10.4958,-3.1906,1.065,0.1378,9,1,0,1,54
10.9451,-3.1989,1.029,0.1357,9,1,1,1,54
12.2558,-3.2606,0.91,0.1281,10,1,0,1,53
12.6603,-3.3012,0.868,0.1119,10,1,1,1,53
13.0512,-3.354,0.826,0.1171,10,1,2,1,53
13.4337,-3.4143,0.785,0.0983,10,1,3,1,53
13.8144,-3.4761,0.743,0.077,11,1,0,1,53
15.01,-3.6139,0.619,0.111,11,1,3,1,56
15.4391,-3.6326,0.578,0.1049,12,1,0,1,56
15.8816,-3.6392,0.537,0.0839,12,1,1,1,56
16.331,-3.6407,0.496,0.0982,12,1,2,1,56
16.7845,-3.6441,0.456,0.1242,12,1,3,1,56
18.1863,-3.6945,0.337,0.148,13,1,2,1,84
18.6662,-3.7236,0.3,0.1117,13,1,3,1,84
19.1486,-3.7551,0.264,0.0954,14,1,0,1,84
19.6301,-3.7858,0.23,0.1297,14,1,1,1,84
20.1076,-3.8126,0.199,0.1276,14,1,2,1,84
20.5788,-3.8333,0.17,0.0752,14,1,3,1,84
-5.6384,-3.4457,0.383,0.14,0,1,0,2,51
-5.1878,-3.4423,0.418,0.0896,0,1,1,2,51
-4.736,-3.4329,0.455,0.1436,0,1,2,2,51
-4.2829,-3.4159,0.494,0.0808,0,1,3,2,51
-3.8285,-3.3921,0.534,0.1421,1,1,0,2,51
-3.3732,-3.3631,0.576,0.1298,1,1,1,2,51
-2.9175,-3.3317,0.618,0.1407,1,1,2,2,51
-2.4619,-3.3012,0.662,0.1427,1,1,3,2,51
-1.1008,-3.2408,0.793,0.1156,2,1,2,2,29
-0.6497,-3.2347,0.835,0.1417,2,1,3,2,29
-0.1993,-3.2331,0.876,0.1231,3,1,0,2,29
0.2526,-3.2312,0.916,0.099,3,1,1,2,29
0.7103,-3.2241,0.957,0.1003,3,1,2,2,29
1.1768,-3.2089,0.997,0.0913,3,1,3,2,29
1.6526,-3.1851,1.037,0.127,4,1,0,2,29
3.6067,-3.0312,1.183,0.1358,5,1,0,2,31
4.0917,-2.9857,1.212,0.1428,5,1,1,2,31
4.567,-2.946,1.236,0.0937,5,1,2,2,31
5.0303,-2.9187,1.254,0.1008,5,1,3,2,31
6.373,-2.8781,1.277,0.1465,6,1,2,2,55
6.8037,-2.8588,1.277,0.1373,6,1,3,2,55
7.2218,-2.8305,1.275,0.1151,7,1,0,2,55
7.6281,-2.7937,1.27,0.0942,7,1,1,2,55
8.0259,-2.7513,1.264,0.0795,7,1,2,2,55
9.2171,-2.6336,1.223,0.0814,8,1,1,2,54
9.63,-2.6123,1.2,0.0842,8,1,2,2,54
10.0564,-2.6046,1.171,0.0822,8,1,3,2,54
10.496,-2.61,1.137,0.0808,9,1,0,2,54
10.9453,-2.625,1.097,0.1263,9,1,1,2,54
12.2616,-2.7324,0.964,0.1183,10,1,0,2,53
12.6673,-2.7964,0.917,0.1047,10,1,1,2,53
13.0553,-2.8695,0.871,0.1261,10,1,2,2,53
13.4317,-2.9475,0.826,0.0983,10,1,3,2,53
13.8062,-3.0275,0.781,0.1178,11,1,0,2,53
14.988,-3.2059,0.649,0.1274,11,1,3,2,56
15.4152,-3.2301,0.605,0.1105,12,1,0,2,56
15.8571,-3.2387,0.562,0.1257,12,1,1,2,56
16.3065,-3.2404,0.519,0.1285,12,1,2,2,56
16.7607,-3.2438,0.477,0.1268,12,1,3,2,56
18.1728,-3.2936,0.352,0.1029,13,1,2,2,84
18.6586,-3.3223,0.312,0.1458,13,1,3,2,84
19.1473,-3.3534,0.274,0.1269,14,1,0,2,84
19.6351,-3.3836,0.238,0.1252,14,1,1,2,84
20.1182,-3.4101,0.205,0.1447,14,1,2,2,84
20.5936,-3.4305,0.175,0.0855,14,1,3,2,84
-5.5205,-3.0453,0.403,0.0856,0,1,0,3,51
-5.0717,-3.0421,0.441,0.1183,0,1,1,3,51
-4.6251,-3.0332,0.479,0.1473,0,1,2,3,51
-4.1812,-3.0171,0.519,0.0782,0,1,3,3,51
-3.7398,-2.9944,0.56,0.1234,1,1,0,3,51
-3.3003,-2.967,0.602,0.1279,1,1,1,3,51
-2.8616,-2.9373,0.645,0.1185,1,1,2,3,51
-2.4226,-2.9083,0.689,0.0964,1,1,3,3,51
-1.0944,-2.851,0.823,0.1024,2,1,2,3,29
-0.6466,-2.8452,0.867,0.113,2,1,3,3,29
-0.197,-2.8437,0.911,0.1116,3,1,0,3,29
0.2551,-2.8421,0.953,0.1052,3,1,1,3,29
0.714,-2.8362,0.996,0.1129,3,1,2,3,29
1.1831,-2.8234,1.038,0.1386,3,1,3,3,29
1.663,-2.8034,1.081,0.0783,4,1,0,3,29
9.2288,-2.093,1.297,0.1121,8,1,1,3,54
9.6364,-2.0537,1.275,0.1472,8,1,2,3,54
10.0584,-2.0346,1.246,0.1075,8,1,3,3,54
10.4947,-2.0346,1.21,0.103,9,1,0,3,54
10.9413,-2.0483,1.168,0.0968,9,1,1,3,54
12.2538,-2.1802,1.023,0.113,10,1,0,3,53
12.6616,-2.2699,0.97,0.0911,10,1,1,3,53
13.0523,-2.3736,0.918,0.0891,10,1,2,3,53
13.4285,-2.4791,0.868,0.1127,10,1,3,3,53
13.7982,-2.5789,0.82,0.1092,11,1,0,3,53
9.2376,-1.5634,1.372,0.1321,8,2,1,0,54
9.6404,-1.5089,1.35,0.1027,8,2,2,0,54
10.0583,-1.4799,1.32,0.1065,8,2,3,0,54
10.4915,-1.4754,1.283,0.091,9,2,0,0,54
10.9356,-1.4879,1.239,0.1152,9,2,1,0,54
12.2389,-1.6296,1.084,0.1249,10,2,0,0,53
12.6435,-1.7321,1.028,0.1093,10,2,1,0,53
13.0349,-1.8594,0.97,0.1196,10,2,2,0,53
13.4152,-1.9963,0.914,0.1462,10,2,3,0,53
13.788,-2.1251,0.86,0.1183,11,2,0,0,53
3.2347,-1.8383,1.32,0.1387,4,2,3,1,28
3.7399,-1.7935,1.358,0.0978,5,2,0,1,28
4.2326,-1.7554,1.39,0.1464,5,2,1,1,28
4.7099,-1.7254,1.416,0.1179,5,2,2,1,28
5.1717,-1.7038,1.435,0.1072,5,2,3,1,28
6.4968,-1.6587,1.458,0.1024,6,2,2,1,45
6.9186,-1.619,1.46,0.0976,6,2,3,1,45
7.3255,-1.5538,1.462,0.1473,7,2,0,1,45
7.7183,-1.4648,1.464,0.1488,7,2,1,1,45
8.1007,-1.359,1.465,0.1243,7,2,2,1,45
9.242,-1.048,1.445,0.092,8,2,1,1,54
9.6406,-0.982,1.423,0.1496,8,2,2,1,54
10.0549,-0.9458,1.393,0.1117,8,2,3,1,54
10.4852,-0.938,1.354,0.1118,9,2,0,1,54
10.927,-0.9496,1.307,0.0768,9,2,1,1,54
12.2223,-1.0983,1.144,0.1152,10,2,0,1,53
12.623,-1.2079,1.085,0.104,10,2,1,1,53
13.0099,-1.3447,1.024,0.1482,10,2,2,1,53
13.3894,-1.4988,0.963,0.0821,10,2,3,1,53
13.7673,-1.6541,0.904,0.085,11,2,0,1,53
14.9334,-1.9603,0.742,0.1302,11,2,3,1,57
15.3559,-1.998,0.691,0.1215,12,2,0,1,57
15.7961,-2.0116,0.641,0.0958,12,2,1,1,57
16.2455,-2.014,0.591,0.1119,12,2,2,1,57
16.7014,-2.0172,0.542,0.1316,12,2,3,1,57
18.1392,-2.0655,0.396,0.081,13,2,2,1,59
18.6398,-2.0933,0.349,0.1463,13,2,3,1,59
19.1445,-2.1233,0.305,0.0852,14,2,0,1,59
19.6478,-2.1526,0.263,0.0876,14,2,1,1,59
20.1445,-2.1783,0.225,0.0806,14,2,2,1,59
20.6304,-2.198,0.19,0.0924,14,2,3,1,59
-5.2871,-1.7935,0.461,0.0929,0,2,0,2,52
-4.842,-1.7907,0.504,0.0941,0,2,1,2,52
-4.4056,-1.7827,0.547,0.0779,0,2,2,2,52
-3.9799,-1.7683,0.592,0.1208,0,2,3,2,52
-3.5642,-1.7481,0.636,0.1229,1,2,0,2,52
-3.1559,-1.7236,0.682,0.1166,1,2,1,2,52
-2.7509,-1.6971,0.728,0.1266,1,2,2,2,52
-1.5128,-1.6312,0.873,0.1178,2,2,1,2,50
-1.0817,-1.6201,0.923,0.0804,2,2,2,2,50
-0.6405,-1.615,0.974,0.136,2,2,3,2,50
-0.1926,-1.6136,1.024,0.1284,3,2,0,2,50
0.2604,-1.6123,1.074,0.0876,3,2,1,2,50
1.7222,-1.5277,1.234,0.1359,4,2,0,2,21
3.2666,-1.3874,1.383,0.1001,4,2,3,2,28
3.7721,-1.3454,1.423,0.1104,5,2,0,2,28
4.2646,-1.3097,1.456,0.1027,5,2,1,2,28
4.7412,-1.2814,1.482,0.1023,5,2,2,2,28
5.2015,-1.2608,1.502,0.109,5,2,3,2,28
6.5201,-1.215,1.526,0.1143,6,2,2,2,45
6.9394,-1.1722,1.528,0.0926,6,2,3,2,45
7.3432,-1.1013,1.531,0.1409,7,2,0,2,45
7.7326,-1.0043,1.534,0.1191,7,2,1,2,45
8.1113,-0.8887,1.535,0.0944,7,2,2,2,45
9.2413,-0.5481,1.516,0.1454,8,2,1,2,54
9.6364,-0.4753,1.494,0.0865,8,2,2,2,54
10.0478,-0.4346,1.463,0.0766,8,2,3,2,54
10.4755,-0.4247,1.422,0.1206,9,2,0,2,54
10.915,-0.4357,1.373,0.1185,9,2,1,2,54
12.2034,-0.5882,1.203,0.1054,10,2,0,2,53
12.6011,-0.7019,1.14,0.1488,10,2,1,2,53
12.9848,-0.8441,1.077,0.089,10,2,2,2,53
13.3608,-1.0044,1.013,0.1435,10,2,3,2,53
13.7377,-1.1697,0.95,0.1174,11,2,0,2,53
14.9241,-1.5279,0.774,0.1175,11,2,3,2,57
15.3459,-1.568,0.721,0.0979,12,2,0,2,57
15.7858,-1.5823,0.668,0.1216,12,2,1,2,57
16.2353,-1.5848,0.616,0.1395,12,2,2,2,57
16.6914,-1.5881,0.564,0.1332,12,2,3,2,57
18.1335,-1.636,0.411,0.1468,13,2,2,2,59
18.6366,-1.6637,0.362,0.0817,13,2,3,2,59
19.144,-1.6936,0.315,0.1084,14,2,0,2,59
