id,x,y,z,width,depth,height,floor_count,density,type,roof,is_tower,macro_x,macro_y,micro_x,micro_y,parcel_id,footprint_cells_x,footprint_cells_y,source_cell_count
49,13.1723,4.908,1.447,0.4306,0.3664,0.56,4,high,house,gable,False,10,5,2,3,15,1,1,1
50,13.6546,4.7541,1.351,0.4403,0.3685,0.42,3,high,house,gable,False,10,5,3,3,15,1,1,1
51,3.9545,5.1421,2.119,0.388,0.3624,0.7,5,high,house,hip,False,5,6,1,0,10,1,1,1
52,4.3967,5.0993,2.159,0.3763,0.3614,0.56,4,high,house,gable,False,5,6,2,0,10,1,1,1
53,4.8278,5.0801,2.19,0.3663,0.3606,0.7,5,high,house,gable,False,5,6,3,0,10,1,1,1
54,7.3727,5.273,2.233,0.3871,0.3568,0.7,5,high,house,gable,False,7,6,1,0,10,1,1,1
55,7.8177,5.3594,2.214,0.3927,0.3557,0.42,3,high,house,hip,False,7,6,2,0,10,1,1,1
56,12.2287,5.57,1.635,0.4009,0.3625,0.42,3,high,house,gable,False,10,6,0,0,15,1,1,1
57,13.1668,5.3344,1.454,0.4308,0.3671,0.42,3,high,house,hip,False,10,6,2,0,15,1,1,1
58,3.9644,5.5615,2.129,0.3879,0.3592,0.42,3,high,house,gable,False,5,6,1,1,10,1,1,1
59,4.4062,5.5177,2.169,0.3761,0.3585,0.84,6,high,house,hip,False,5,6,2,1,10,1,1,1
60,4.8369,5.4976,2.201,0.3658,0.3576,0.56,4,high,house,hip,False,5,6,3,1,10,1,1,1
61,6.9361,5.6124,2.253,0.3761,0.3537,0.7,5,high,house,gable,False,7,6,0,1,10,1,1,1
62,7.8146,5.7707,2.22,0.3903,0.3519,0.56,4,high,house,gable,False,7,6,2,1,10,1,1,1
63,9.1552,6.0156,2.108,0.3865,0.3501,0.7,5,high,house,gable,False,8,6,1,1,9,1,1,1
64,12.6813,5.8897,1.549,0.4158,0.3631,0.7,5,high,house,gable,False,10,6,1,1,15,1,1,1
65,9.1391,6.4199,2.105,0.385,0.3459,0.56,4,high,house,gable,False,8,6,1,2,9,1,1,1
66,9.5797,6.4734,2.053,0.3786,0.3465,0.42,3,high,house,gable,False,8,6,2,2,9,1,1,1
67,10.0149,6.5056,1.995,0.3721,0.3475,0.42,3,high,house,gable,False,8,6,3,2,9,1,1,1
68,9.5438,6.8727,2.046,0.3763,0.3433,0.7,5,high,house,gable,False,8,6,2,3,9,1,1,1
69,3.1359,8.1048,1.952,0.375,0.3329,0.7,5,high,house,gable,False,4,7,3,3,7,1,1,1
70,3.5687,8.0783,2.006,0.3711,0.3473,0.7,5,high,house,gable,False,5,7,0,3,7,1,1,1
71,2.7217,8.5036,1.866,0.37,0.3207,0.84,6,high,house,gable,False,4,8,2,0,7,1,1,1
72,3.1495,8.4931,1.923,0.3663,0.3354,0.56,4,high,house,hip,False,4,8,3,0,7,1,1,1
73,6.8099,9.3341,2.046,0.3189,0.3628,0.7,5,high,house,hip,False,7,8,0,2,2,1,1,1
74,-1.3114,9.6934,1.084,0.4071,0.3542,0.7,5,high,house,gable,False,2,8,1,3,62,1,1,1
75,-0.3638,9.6387,1.258,0.4088,0.3457,0.56,4,high,house,gable,False,2,8,3,3,62,1,1,1
76,0.5784,9.6144,1.426,0.3995,0.3421,0.84,6,high,house,gable,False,3,8,1,3,62,1,1,1
77,2.7511,9.6702,1.752,0.3534,0.3517,0.7,5,high,house,gable,False,4,8,2,3,63,1,1,1
78,3.1596,9.6952,1.799,0.3504,0.356,0.56,4,high,house,gable,False,4,8,3,3,63,1,1,1
79,3.5663,9.7173,1.842,0.3501,0.36,0.14,1,none,house,hip,False,5,8,0,3,63,1,1,1
80,5.214,9.7359,1.967,0.3576,0.3653,0.42,3,high,house,gable,False,6,8,0,3,2,1,1,1
81,5.6273,9.7279,1.985,0.3533,0.3647,0.7,5,high,house,gable,False,6,8,1,3,2,1,1,1
82,6.4222,9.7336,1.998,0.3292,0.3634,0.7,5,high,house,gable,False,6,8,3,3,2,1,1,1
83,6.7971,9.7556,1.992,0.3169,0.3627,0.7,5,high,house,hip,False,7,8,0,3,2,1,1,1
84,-1.3113,10.1163,1.048,0.4074,0.3734,0.56,4,high,house,gable,False,2,9,1,0,62,1,1,1
85,-0.8384,10.0785,1.134,0.4086,0.3704,0.56,4,high,house,gable,False,2,9,2,0,62,1,1,1
86,-0.3639,10.0535,1.22,0.4564,0.4109,2.8,20,high,tower,flat,True,2,9,3,0,62,1,1,1
87,0.1098,10.037,1.303,0.4064,0.3662,0.7,5,high,house,gable,False,3,9,0,0,62,1,1,1
88,0.578,10.0252,1.384,0.3994,0.3646,0.7,5,high,house,gable,False,3,9,1,0,62,1,1,1
89,2.3327,10.059,1.649,0.3576,0.3625,0.84,6,high,house,gable,False,4,9,1,0,63,1,1,1
90,3.1508,10.1136,1.746,0.349,0.3638,0.56,4,high,house,gable,False,4,9,3,0,63,1,1,1
91,3.5558,10.1383,1.787,0.349,0.3645,0.84,6,high,house,gable,False,5,9,0,0,63,1,1,1
