x,y,height,slope,buildable,distance_to_road,accessibility,center_score,noise_value,density_potential,green_potential,open_space_potential,state,density,type,is_tower
21,0,0.266,0.063,True,7.371,0.378,0.237,0.472,0.359,0.668,0.609,0,none,forest,False
22,0,0.275,0.057,True,6.684,0.403,0.214,0.543,0.381,0.688,0.655,0,none,forest,False
23,0,0.295,0.049,True,5.998,0.427,0.188,0.539,0.383,0.679,0.652,0,none,forest,False
24,0,0.323,0.043,True,5.315,0.45,0.161,0.473,0.369,0.645,0.609,0,none,forest,False
25,0,0.357,0.036,True,4.717,0.469,0.132,0.482,0.371,0.643,0.613,0,none,forest,False
26,0,0.393,0.036,True,4.272,0.48,0.101,0.506,0.373,0.649,0.626,1,low,residential_low,False
27,0,0.428,0.035,True,4.031,0.48,0.068,0.437,0.346,0.621,0.579,1,low,residential_low,False
28,0,0.459,0.031,True,4.031,0.468,0.034,0.462,0.336,0.635,0.591,0,none,forest,False
29,0,0.482,0.023,True,4.272,0.444,0.0,0.483,0.321,0.651,0.599,0,none,forest,False
0,1,0.29,0.084,True,8.276,0.275,0.068,0.551,0.282,0.732,0.636,0,none,forest,False
1,1,0.374,0.085,True,7.382,0.331,0.103,0.55,0.317,0.685,0.637,0,none,forest,False
2,1,0.459,0.085,True,6.519,0.384,0.137,0.515,0.343,0.654,0.622,0,none,forest,False
3,1,0.539,0.08,True,5.701,0.435,0.17,0.529,0.379,0.643,0.638,0,none,forest,False
4,1,0.611,0.072,True,4.95,0.482,0.2,0.691,0.45,0.693,0.749,0,none,forest,False
5,1,0.673,0.062,True,4.301,0.523,0.229,0.701,0.479,0.684,0.761,0,none,forest,False
6,1,0.721,0.049,True,3.808,0.556,0.256,0.356,0.416,0.535,0.545,1,low,residential_low,False
7,1,0.754,0.056,True,3.536,0.578,0.28,0.28,0.414,0.498,0.501,1,low,residential_low,False
8,1,0.771,0.064,True,3.536,0.585,0.302,0.338,0.438,0.519,0.541,1,low,residential_low,False
9,1,0.773,0.071,True,3.808,0.579,0.321,0.444,0.468,0.563,0.61,1,low,residential_low,False
10,1,0.759,0.078,True,4.301,0.561,0.337,0.391,0.451,0.548,0.576,1,low,residential_low,False
11,1,0.731,0.085,True,4.95,0.534,0.349,0.442,0.456,0.577,0.608,1,low,residential_low,False
12,1,0.692,0.089,True,5.701,0.501,0.359,0.404,0.434,0.572,0.582,1,low,residential_low,False
13,1,0.644,0.093,True,6.519,0.464,0.364,0.398,0.418,0.582,0.575,0,none,forest,False
14,1,0.591,0.094,True,7.382,0.423,0.366,0.238,0.36,0.531,0.47,0,none,forest,False
15,1,0.536,0.094,True,8.276,0.379,0.364,0.401,0.38,0.61,0.57,0,none,forest,False
16,1,0.482,0.093,True,9.192,0.333,0.359,0.467,0.374,0.651,0.609,0,none,forest,False
17,1,0.433,0.089,True,9.391,0.32,0.349,0.558,0.388,0.692,0.665,0,none,forest,False
18,1,0.391,0.085,True,8.704,0.349,0.337,0.464,0.374,0.645,0.606,0,none,forest,False
19,1,0.359,0.079,True,8.017,0.376,0.321,0.416,0.369,0.617,0.576,0,none,forest,False
20,1,0.338,0.072,True,7.331,0.403,0.302,0.317,0.351,0.569,0.513,0,none,forest,False
21,1,0.329,0.064,True,6.644,0.428,0.28,0.424,0.383,0.603,0.581,0,none,forest,False
22,1,0.332,0.057,True,5.957,0.453,0.256,0.481,0.401,0.618,0.617,0,none,forest,False
23,1,0.344,0.049,True,5.271,0.476,0.229,0.575,0.427,0.649,0.677,0,none,forest,False
24,1,0.366,0.043,True,4.584,0.499,0.2,0.578,0.429,0.642,0.678,1,low,residential_low,False
25,1,0.392,0.035,True,3.905,0.521,0.17,0.514,0.414,0.61,0.635,1,low,residential_low,False
26,1,0.422,0.03,True,3.354,0.537,0.137,0.467,0.4,0.586,0.604,1,low,residential_low,False
27,1,0.451,0.029,True,3.041,0.54,0.103,0.453,0.387,0.579,0.592,1,low,residential_low,False
28,1,0.477,0.026,True,3.041,0.527,0.068,0.514,0.386,0.608,0.626,1,low,residential_low,False
29,1,0.495,0.018,True,3.354,0.5,0.032,0.491,0.357,0.636,0.612,1,low,residential_low,False
0,2,0.297,0.09,True,7.906,0.305,0.101,0.514,0.296,0.708,0.617,0,none,forest,False
1,2,0.387,0.09,True,6.964,0.363,0.137,0.562,0.345,0.679,0.65,0,none,forest,False
2,2,0.477,0.09,True,6.042,0.419,0.172,0.458,0.355,0.591,0.586,1,low,residential_low,False
3,2,0.563,0.086,True,5.148,0.474,0.206,0.559,0.415,0.614,0.658,1,low,residential_low,False
4,2,0.643,0.08,True,4.301,0.526,0.238,0.605,0.459,0.615,0.695,1,low,residential_low,False
5,2,0.712,0.069,True,3.536,0.574,0.269,0.722,0.519,0.647,0.777,1,low,residential_low,False
6,2,0.769,0.057,True,2.915,0.613,0.297,0.318,0.444,0.473,0.524,1,low,residential_low,False
7,2,0.81,0.056,True,2.55,0.64,0.323,0.311,0.463,0.461,0.524,1,low,residential_low,False
8,2,0.835,0.065,True,2.55,0.648,0.346,0.282,0.466,0.447,0.508,1,low,residential_low,False
9,2,0.844,0.074,True,2.915,0.638,0.366,0.356,0.486,0.48,0.557,1,low,residential_low,False
10,2,0.837,0.081,True,3.536,0.614,0.383,0.334,0.475,0.479,0.542,1,low,residential_low,False
11,2,0.816,0.087,True,4.301,0.582,0.397,0.328,0.463,0.487,0.537,1,low,residential_low,False
12,2,0.781,0.093,True,5.148,0.544,0.407,0.336,0.451,0.502,0.54,1,low,residential_low,False
13,2,0.737,0.097,True,6.042,0.504,0.413,0.309,0.428,0.504,0.52,1,low,residential_low,False
14,2,0.685,0.099,True,6.964,0.46,0.415,0.251,0.394,0.495,0.48,1,low,residential_low,False
15,2,0.63,0.099,True,7.906,0.414,0.413,0.449,0.422,0.589,0.603,1,low,residential_low,False
16,2,0.575,0.096,True,8.86,0.366,0.407,0.531,0.419,0.637,0.651,1,low,residential_low,False
17,2,0.522,0.093,True,8.664,0.372,0.397,0.6,0.436,0.663,0.695,1,low,residential_low,False
18,2,0.476,0.088,True,7.977,0.4,0.383,0.471,0.413,0.602,0.613,1,low,residential_low,False
19,2,0.438,0.081,True,7.29,0.427,0.366,0.504,0.428,0.607,0.635,1,low,residential_low,False
20,2,0.41,0.073,True,6.604,0.453,0.346,0.369,0.4,0.544,0.548,1,low,residential_low,False
21,2,0.393,0.065,True,5.917,0.478,0.323,0.476,0.431,0.579,0.617,1,low,residential_low,False
22,2,0.388,0.056,True,5.23,0.502,0.297,0.489,0.437,0.577,0.624,1,low,residential_low,False
23,2,0.392,0.048,True,4.544,0.525,0.269,0.566,0.458,0.6,0.673,1,low,residential_low,False
24,2,0.405,0.039,True,3.857,0.548,0.238,0.625,0.474,0.616,0.709,1,low,residential_low,False
25,2,0.424,0.032,True,3.171,0.569,0.206,0.548,0.455,0.579,0.659,1,low,residential_low,False
26,2,0.447,0.025,True,2.5,0.59,0.172,0.503,0.443,0.554,0.628,1,low,residential_low,False
27,2,0.469,0.022,True,2.062,0.599,0.137,0.497,0.435,0.549,0.622,1,low,residential_low,False
28,2,0.489,0.02,True,2.062,0.586,0.101,0.59,0.441,0.619,0.683,1,low,residential_low,False
29,2,0.502,0.013,True,2.5,0.552,0.063,0.516,0.396,0.63,0.635,1,low,residential_low,False
0,3,0.297,0.096,True,7.649,0.328,0.132,0.481,0.307,0.687,0.601,0,none,forest,False
1,3,0.393,0.097,True,6.671,0.388,0.17,0.441,0.336,0.623,0.578,0,none,forest,False
2,3,0.49,0.097,True,5.701,0.448,0.206,0.451,0.376,0.579,0.587,1,low,residential_low,False
3,3,0.584,0.094,True,4.743,0.506,0.241,0.261,0.365,0.455,0.468,1,low,residential_low,False
4,3,0.672,0.088,True,3.808,0.563,0.275,0.325,0.417,0.462,0.516,1,low,residential_low,False
