x,y,height,slope,buildable,distance_to_road,accessibility,state,density,type,is_tower
9,4,0.993,0.076,True,1.581,0.733,1,low,residential_low,False
10,4,1.002,0.085,True,2.55,0.693,1,low,residential_low,False
11,4,0.994,0.093,True,3.536,0.652,1,low,residential_low,False
12,4,0.971,0.099,True,4.526,0.608,1,low,residential_low,False
13,4,0.934,0.104,True,5.517,0.563,1,low,residential_low,False
14,4,0.887,0.105,True,6.508,0.516,1,low,residential_low,False
15,4,0.831,0.106,True,7.499,0.467,1,low,residential_low,False
16,4,0.772,0.104,True,7.896,0.446,1,low,residential_low,False
17,4,0.712,0.099,True,7.21,0.475,1,low,residential_low,False
18,4,0.654,0.093,True,6.523,0.502,1,low,residential_low,False
19,4,0.602,0.086,True,5.836,0.528,1,low,residential_low,False
20,4,0.558,0.076,True,5.15,0.553,1,low,residential_low,False
21,4,0.524,0.066,True,4.463,0.577,1,low,residential_low,False
22,4,0.499,0.056,True,3.776,0.6,1,low,residential_low,False
23,4,0.484,0.045,True,3.09,0.622,1,low,residential_low,False
24,4,0.478,0.035,True,2.403,0.643,1,low,residential_low,False
25,4,0.479,0.026,True,1.717,0.664,1,low,residential_low,False
26,4,0.485,0.018,True,1.03,0.684,1,low,residential_low,False
27,4,0.492,0.009,True,0.343,0.704,1,low,residential_low,False
28,4,0.497,0.005,True,0.5,0.682,1,low,residential_low,False
29,4,0.499,0.009,True,1.5,0.62,1,low,residential_low,False
0,5,0.284,0.109,True,7.517,0.354,0,none,forest,False
1,5,0.393,0.112,True,6.519,0.416,0,none,forest,False
2,5,0.505,0.112,True,5.523,0.478,1,low,residential_low,False
3,5,0.616,0.111,True,4.528,0.539,1,low,residential_low,False
4,5,0.722,0.106,True,3.535,0.6,1,low,residential_low,False
5,5,0.819,0.097,True,2.545,0.66,1,low,residential_low,False
6,5,0.905,0.086,True,1.554,0.72,1,low,residential_low,False
7,5,0.977,0.072,True,0.563,0.778,1,low,residential_low,False
8,5,1.032,0.066,True,0.428,0.795,1,low,residential_low,False
9,5,1.069,0.076,True,1.419,0.756,1,low,residential_low,False
10,5,1.087,0.086,True,2.41,0.716,1,low,residential_low,False
11,5,1.087,0.095,True,3.4,0.674,1,low,residential_low,False
12,5,1.07,0.101,True,4.391,0.631,1,low,residential_low,False
13,5,1.038,0.105,True,5.382,0.586,1,low,residential_low,False
14,5,0.992,0.108,True,6.373,0.54,1,low,residential_low,False
15,5,0.937,0.108,True,7.364,0.491,1,low,residential_low,False
16,5,0.876,0.105,True,7.169,0.497,1,low,residential_low,False
17,5,0.811,0.101,True,6.483,0.526,1,low,residential_low,False
18,5,0.747,0.095,True,5.796,0.553,1,low,residential_low,False
19,5,0.688,0.086,True,5.109,0.578,1,low,residential_low,False
20,5,0.634,0.077,True,4.423,0.602,1,low,residential_low,False
21,5,0.59,0.066,True,3.736,0.626,1,low,residential_low,False
22,5,0.554,0.055,True,3.049,0.648,1,low,residential_low,False
23,5,0.529,0.045,True,2.363,0.669,1,low,residential_low,False
24,5,0.512,0.034,True,1.676,0.69,1,low,residential_low,False
25,5,0.503,0.024,True,0.99,0.71,1,low,residential_low,False
26,5,0.499,0.014,True,0.303,0.729,1,low,residential_low,False
27,5,0.497,0.005,True,0.384,0.712,1,low,residential_low,False
28,5,0.495,0.005,True,1.07,0.664,1,low,residential_low,False
29,5,0.49,0.012,True,1.803,0.615,1,low,residential_low,False
